Hispanic_index,Date_index,Maternal_Deaths,Live_Births,Maternal_Mortality_Rate
0,0,90,885705,10.2
1,1,90,885333,10.2
2,2,89,883687,10.1
3,3,96,884928,10.8
4,4,103,884930,11.6
5,5,105,883801,11.9
6,6,100,885160,11.3
7,7,100,885671,11.3
8,8,96,887617,10.8
9,9,103,888275,11.6
10,10,109,886231,12.3
11,11,112,886467,12.6
12,12,110,886326,12.4
13,13,114,888125,12.8
14,14,115,888044,12.9
15,15,120,887527,13.5
16,16,118,884865,13.3
17,17,123,885039,13.9
18,18,136,883239,15.4
19,19,142,878704,16.2
20,20,148,876283,16.9
21,21,153,872928,17.5
22,22,150,871249,17.2
23,23,158,866713,18.2
24,24,177,858833,20.6
25,25,180,853365,21.1
26,26,186,853143,21.8
27,27,179,853483,21.0
28,28,179,854389,21.0
29,29,174,856973,20.3
30,30,172,858586,20.0
31,31,191,861675,22.2
32,32,216,866414,24.9
33,33,230,870471,26.4
34,34,250,876537,28.5
35,35,248,885916,28.0
36,36,251,896321,28.0
37,37,248,903407,27.5
38,38,245,909698,26.9
39,39,242,912392,26.5
40,40,240,915616,26.2
41,41,245,918568,26.7
42,42,240,922141,26.0
43,43,216,928342,23.3
44,44,184,928585,19.8
45,45,168,930032,18.1
46,46,155,934331,16.6
47,47,158,937421,16.9
48,48,145,939675,15.4
49,49,143,940574,15.2
50,50,139,940523,14.8
51,51,142,940535,15.1
52,52,133,943154,14.1
53,53,128,944122,13.6
54,54,125,943715,13.2
55,55,125,942681,13.3
56,56,131,943783,13.9
57,57,130,946353,13.7
58,58,127,947023,13.4
59,59,122,944966,12.9
